,area_type,location,total_sqft,bath,balcony,price,bhk
5138,Super built-up  Area,NRI Layout,1731.0,3.0,3.0,64.11,3
5139,Plot  Area,NRI Layout,2400.0,2.0,1.0,125.0,2
5141,Plot  Area,Nagarbhavi,1350.0,3.0,2.0,150.0,3
5142,Plot  Area,Nagarbhavi,1200.0,2.0,1.0,150.0,2
5144,Built-up  Area,Nagarbhavi,2400.0,3.0,0.0,160.0,3
5145,Super built-up  Area,Nagarbhavi,884.0,2.0,2.0,36.0,1
5146,Super built-up  Area,Nagarbhavi,1055.0,2.0,2.0,55.0,2
5148,Super built-up  Area,Nagarbhavi,1223.0,2.0,1.0,60.0,2
5149,Built-up  Area,Nagarbhavi,956.0,2.0,1.0,49.0,2
5151,Plot  Area,Nagarbhavi,1200.0,2.0,1.0,150.0,2
5154,Super built-up  Area,Nagarbhavi,1145.0,2.0,2.0,40.0,2
5155,Carpet  Area,Nagarbhavi,300.0,1.0,1.0,20.0,1
5156,Plot  Area,Nagarbhavi,1250.0,3.0,0.0,175.0,4
5157,Built-up  Area,Nagarbhavi,710.0,2.0,2.0,40.0,1
5159,Super built-up  Area,Nagarbhavi,1212.0,2.0,2.0,50.0,2
5160,Super built-up  Area,Nagarbhavi,1020.0,2.0,2.0,55.0,2
5162,Super built-up  Area,Nagarbhavi,1120.0,2.0,3.0,53.0,2
5164,Super built-up  Area,Nagarbhavi,1146.0,2.0,1.0,50.0,2
5166,Super built-up  Area,Nagarbhavi,1190.0,2.0,2.0,63.0,2
5168,Built-up  Area,Nagarbhavi,1050.0,2.0,1.0,80.0,2
5169,Built-up  Area,Nagarbhavi,2500.0,3.0,2.0,180.0,5
5171,Built-up  Area,Nagarbhavi,1250.0,3.0,0.0,170.0,2
5173,Super built-up  Area,Nagarbhavi,1400.0,2.0,2.0,135.0,3
5175,Super built-up  Area,Nagarbhavi,1100.0,2.0,2.0,46.2,2
5176,Super built-up  Area,Nagarbhavi,1080.0,2.0,1.0,49.0,2
5177,Built-up  Area,Nagarbhavi,1800.0,3.0,0.0,180.0,4
5178,Super built-up  Area,Nagarbhavi,1225.0,2.0,3.0,58.0,2
5179,Super built-up  Area,Nagasandra,980.0,2.0,1.0,48.0,2
5180,Super built-up  Area,Nagasandra,2400.0,4.0,1.0,145.0,4
5181,Built-up  Area,Nagasandra,7000.0,8.0,2.0,450.0,4
5182,Super built-up  Area,Nagasandra,1650.0,3.0,2.0,95.0,3
5183,Plot  Area,Nagasandra,1500.0,2.0,0.0,91.0,2
5184,Plot  Area,Nagavara,400.0,1.0,0.0,14.0,1
5185,Super built-up  Area,Nagavara,2172.65,3.0,3.0,120.0,4
5187,Super built-up  Area,Nagavara,2319.0,3.0,2.0,180.0,3
5188,Super built-up  Area,Nagavara,2430.0,4.0,3.0,180.0,3
5189,Built-up  Area,Nagavara,936.0,2.0,0.0,40.2,2
5190,Super built-up  Area,Nagavara,1125.0,2.0,2.0,44.5,2
5191,Built-up  Area,Nagavara,1315.0,2.0,2.0,70.0,2
5192,Super built-up  Area,Nagavara,1077.0,2.0,1.0,50.0,2
5193,Super built-up  Area,Nagavara,2496.0,4.0,2.0,125.0,4
5194,Super built-up  Area,Nagavara,1110.0,2.0,2.0,44.95,2
5195,Super built-up  Area,Nagavara,1247.0,2.0,1.0,58.56,2
5196,Super built-up  Area,Nagavarapalya,1392.0,2.0,1.0,99.0,2
5197,Super built-up  Area,Nagavarapalya,705.0,1.0,1.0,52.5,1
5198,Super built-up  Area,Nagavarapalya,1300.0,3.0,1.0,80.0,3
5199,Super built-up  Area,Nagavarapalya,705.0,1.0,1.0,57.0,1
5200,Super built-up  Area,Nagavarapalya,705.0,1.0,1.0,55.0,1
5201,Super built-up  Area,Nagavarapalya,705.0,1.0,1.0,57.0,1
5202,Super built-up  Area,Nagavarapalya,1335.0,2.0,3.0,110.0,2
5203,Super built-up  Area,Nagavarapalya,1260.0,2.0,2.0,85.5,2
5204,Super built-up  Area,Narayanapura,1308.0,2.0,2.0,89.04,2
5205,Super built-up  Area,Narayanapura,1566.0,3.0,1.0,83.3,3
5206,Built-up  Area,Narayanapura,1485.0,3.0,2.0,85.0,3
5207,Super built-up  Area,Narayanapura,1302.0,2.0,1.0,69.1,2
5208,Super built-up  Area,Narayanapura,1308.0,2.0,1.0,89.04,2
5209,Super built-up  Area,Narayanapura,2357.0,3.0,2.0,135.0,3
5210,Super built-up  Area,Narayanapura,2357.0,3.0,2.0,135.0,3
5211,Super built-up  Area,Narayanapura,1469.0,2.0,2.0,99.14,2
5212,Super built-up  Area,Neeladri Nagar,1053.0,2.0,1.0,45.0,2
5213,Super built-up  Area,Neeladri Nagar,1363.0,2.0,2.0,68.0,2
5214,Super built-up  Area,Neeladri Nagar,2556.0,3.0,2.0,133.0,3
5215,Super built-up  Area,Neeladri Nagar,674.0,1.0,1.0,21.0,1
5216,Built-up  Area,Neeladri Nagar,527.0,1.0,0.0,26.0,1
5217,Super built-up  Area,Neeladri Nagar,1167.0,2.0,1.0,38.0,3
5218,Super built-up  Area,Neeladri Nagar,1060.0,2.0,0.0,35.0,2
5219,Built-up  Area,Neeladri Nagar,640.0,1.0,1.0,20.5,1
5220,Super built-up  Area,Neeladri Nagar,4000.0,12.0,2.0,160.0,10
5221,Super built-up  Area,Neeladri Nagar,1105.0,2.0,2.0,30.0,2
5222,Super built-up  Area,Neeladri Nagar,1100.0,2.0,2.0,30.0,2
5223,Super built-up  Area,Neeladri Nagar,2111.0,3.0,2.0,103.0,3
5224,Super built-up  Area,Nehru Nagar,1775.0,3.0,3.0,110.0,3
5225,Super built-up  Area,Nehru Nagar,2363.0,5.0,2.0,120.0,4
5226,Super built-up  Area,Nehru Nagar,2342.0,3.0,2.0,115.0,4
5227,Super built-up  Area,Nehru Nagar,967.0,2.0,2.0,41.1,2
5228,Built-up  Area,Nehru Nagar,1374.0,3.0,2.0,72.0,3
5229,Super built-up  Area,Nehru Nagar,1674.0,3.0,2.0,90.0,3
5230,Super built-up  Area,Nehru Nagar,1269.0,2.0,2.0,63.0,3
5231,Super built-up  Area,Nehru Nagar,1100.0,2.0,2.0,50.0,2
5232,Super built-up  Area,Nehru Nagar,1674.0,3.0,2.0,81.0,3
5233,Super built-up  Area,OMBR Layout,2420.0,3.0,2.0,185.0,3
5234,Built-up  Area,OMBR Layout,1078.0,2.0,3.0,65.0,2
5235,Super built-up  Area,OMBR Layout,1101.0,2.0,2.0,65.5,2
5236,Super built-up  Area,OMBR Layout,1041.0,2.0,2.0,65.5,2
5237,Super built-up  Area,OMBR Layout,1300.0,2.0,2.0,80.0,2
5238,Super built-up  Area,OMBR Layout,1085.0,2.0,1.0,64.0,2
5239,Super built-up  Area,OMBR Layout,1855.0,3.0,2.0,145.0,3
5240,Super built-up  Area,OMBR Layout,1050.0,2.0,3.0,48.0,2
5242,Super built-up  Area,OMBR Layout,1165.0,2.0,2.0,88.5,2
5243,Super built-up  Area,OMBR Layout,1101.0,2.0,2.0,66.0,2
5244,Super built-up  Area,OMBR Layout,3400.0,4.0,2.0,275.0,4
5246,Super built-up  Area,Old Airport Road,2732.0,4.0,2.0,204.0,4
5248,Super built-up  Area,Old Airport Road,3356.0,4.0,2.0,251.0,4
5249,Super built-up  Area,Old Airport Road,1206.0,2.0,3.0,75.0,2
5250,Super built-up  Area,Old Airport Road,2774.0,4.0,2.0,207.0,4
5251,Super built-up  Area,Old Airport Road,2690.0,4.0,3.0,191.0,4
5252,Super built-up  Area,Old Airport Road,2690.0,4.0,3.0,199.0,4
5253,Super built-up  Area,Old Airport Road,1655.0,2.0,1.0,97.65,2
5254,Super built-up  Area,Old Airport Road,1075.0,2.0,2.0,60.0,2
5255,Built-up  Area,Old Airport Road,1858.0,2.0,1.0,167.0,3
5256,Super built-up  Area,Old Airport Road,1150.0,2.0,1.0,90.0,2
5257,Super built-up  Area,Old Airport Road,2690.0,4.0,3.0,191.0,4
5258,Super built-up  Area,Old Airport Road,2658.0,5.0,3.0,187.0,4
5259,Super built-up  Area,Old Airport Road,946.0,2.0,2.0,58.0,2
5260,Super built-up  Area,Old Airport Road,2774.0,4.0,3.0,208.0,4
5261,Super built-up  Area,Old Airport Road,2774.0,4.0,3.0,208.0,4
5262,Built-up  Area,Old Airport Road,3200.0,4.0,2.0,280.0,4
5263,Super built-up  Area,Old Airport Road,2690.0,4.0,3.0,201.0,4
5264,Super built-up  Area,Old Airport Road,1145.0,2.0,2.0,75.0,2
5265,Super built-up  Area,Old Airport Road,2732.0,4.0,3.0,194.0,4
5266,Super built-up  Area,Old Airport Road,2658.0,5.0,3.0,189.0,4
5267,Super built-up  Area,Old Airport Road,2774.0,4.0,3.0,197.0,4
5268,Super built-up  Area,Old Airport Road,3496.0,4.0,2.0,262.0,4
5269,Super built-up  Area,Old Airport Road,2774.0,4.0,3.0,197.0,4
5270,Super built-up  Area,Old Airport Road,2732.0,4.0,3.0,204.0,4
5271,Super built-up  Area,Old Airport Road,1798.0,3.0,2.0,150.0,3
5272,Super built-up  Area,Old Airport Road,2774.0,4.0,3.0,208.0,4
5273,Super built-up  Area,Old Airport Road,1184.0,2.0,1.0,78.0,2
5274,Super built-up  Area,Old Airport Road,3504.0,4.0,2.0,262.0,4
5275,Built-up  Area,Old Airport Road,1055.0,2.0,3.0,75.0,2
5276,Super built-up  Area,Old Madras Road,1425.0,2.0,2.0,94.0,3
5279,Super built-up  Area,Old Madras Road,935.0,2.0,1.0,45.0,2
5280,Super built-up  Area,Old Madras Road,1720.0,3.0,2.0,100.0,3
5281,Super built-up  Area,Old Madras Road,1200.0,2.0,1.0,72.0,2
5282,Super built-up  Area,Old Madras Road,1225.0,2.0,1.0,53.55,2
5283,Super built-up  Area,Old Madras Road,1100.0,2.0,1.0,70.0,2
5284,Super built-up  Area,Old Madras Road,2760.0,5.0,2.0,157.0,3
5285,Super built-up  Area,Old Madras Road,1171.0,2.0,2.0,75.0,2
5286,Super built-up  Area,Old Madras Road,935.0,2.0,1.0,45.0,2
5287,Super built-up  Area,Old Madras Road,4500.0,7.0,3.0,294.0,5
5289,Super built-up  Area,Old Madras Road,1065.0,2.0,1.0,47.86,2
5290,Super built-up  Area,Old Madras Road,2010.0,3.0,2.0,125.0,4
5292,Super built-up  Area,Old Madras Road,1480.0,2.0,2.0,84.0,3
5293,Super built-up  Area,Old Madras Road,2990.0,5.0,1.0,210.0,3
5294,Super built-up  Area,Old Madras Road,1210.0,2.0,1.0,74.0,2
5295,Super built-up  Area,Old Madras Road,1171.0,2.0,2.0,72.0,2
5297,Super built-up  Area,Old Madras Road,1480.0,3.0,2.0,95.0,3
5299,Super built-up  Area,Old Madras Road,1210.0,2.0,1.0,80.0,2
5300,Super built-up  Area,Old Madras Road,1859.0,3.0,2.0,121.0,3
5301,Super built-up  Area,Old Madras Road,2990.0,5.0,1.0,173.0,3
5304,Built-up  Area,Old Madras Road,2300.0,3.0,2.0,142.0,3
5306,Super built-up  Area,Old Madras Road,1210.0,2.0,1.0,80.0,2
5307,Super built-up  Area,Old Madras Road,1210.0,2.0,1.0,77.0,2
5308,Super built-up  Area,Old Madras Road,1330.0,2.0,2.0,74.0,2
5309,Super built-up  Area,Old Madras Road,1720.0,3.0,2.0,106.0,3
5310,Super built-up  Area,Old Madras Road,2640.0,5.0,1.0,150.0,3
5311,Super built-up  Area,Old Madras Road,2990.0,3.0,2.0,170.0,3
5313,Super built-up  Area,Old Madras Road,1171.0,2.0,2.0,73.0,2
5314,Super built-up  Area,Old Madras Road,1630.0,3.0,2.0,110.0,3
5315,Super built-up  Area,Old Madras Road,1165.0,2.0,1.0,52.0,2
5316,Super built-up  Area,Old Madras Road,2640.0,2.0,1.0,170.0,2
5317,Super built-up  Area,Old Madras Road,1165.0,2.0,1.0,51.42,2
5318,Super built-up  Area,Other,2770.0,4.0,2.0,290.0,3
5321,Super built-up  Area,Other,600.0,1.0,0.0,38.0,1
5324,Super built-up  Area,Other,1500.0,2.0,2.0,185.0,2
5326,Plot  Area,Other,4395.0,3.0,2.0,240.0,3
5327,Super built-up  Area,Other,845.0,2.0,1.0,55.0,2
5328,Built-up  Area,Other,2511.0,3.0,3.0,205.0,3
5329,Super built-up  Area,Other,1660.0,2.0,2.0,105.0,3
5331,Built-up  Area,Other,1200.0,2.0,1.0,65.0,2
5332,Built-up  Area,Other,1200.0,3.0,1.0,90.0,3
5336,Built-up  Area,Other,782.0,2.0,2.0,55.68,2
5337,Super built-up  Area,Other,1800.0,3.0,3.0,120.0,3
5338,Super built-up  Area,Other,1413.0,2.0,2.0,75.0,3
5339,Super built-up  Area,Other,945.0,2.0,1.0,54.0,2
5340,Built-up  Area,Other,1870.0,3.0,3.0,110.0,3
5341,Super built-up  Area,Other,1260.0,2.0,2.0,85.05,3
5343,Super built-up  Area,Other,2795.0,4.0,2.0,235.0,3
5345,Super built-up  Area,Other,1904.0,3.0,1.0,150.0,3
5346,Super built-up  Area,Other,2000.0,3.0,1.0,175.0,3
5349,Plot  Area,Other,1500.0,3.0,2.0,100.0,3
5351,Built-up  Area,Other,1783.0,3.0,1.0,115.0,3
5352,Super built-up  Area,Other,912.0,2.0,1.0,70.0,3
5355,Super built-up  Area,Other,1580.0,3.0,3.0,100.0,3
5356,Super built-up  Area,Other,1415.0,3.0,3.0,78.0,3
5358,Super built-up  Area,Other,2405.0,4.0,2.0,260.0,3
5359,Plot  Area,Other,1500.0,2.0,1.0,115.0,2
5364,Built-up  Area,Other,1060.0,2.0,2.0,60.0,2
5365,Plot  Area,Other,2600.0,8.0,2.0,180.0,8
5367,Super built-up  Area,Other,1285.0,2.0,3.0,72.5,2
5368,Plot  Area,Other,4050.0,3.0,2.0,280.0,3
5372,Super built-up  Area,Other,3045.0,3.0,2.0,170.0,3
5375,Plot  Area,Other,900.0,2.0,1.0,110.0,2
5380,Super built-up  Area,Other,1560.0,3.0,3.0,115.0,3
5383,Plot  Area,Other,1200.0,4.0,3.0,165.0,4
5385,Built-up  Area,Other,1645.0,3.0,2.0,95.0,3
5386,Plot  Area,Other,1200.0,2.0,0.0,79.0,2
5388,Plot  Area,Other,1350.0,2.0,0.0,140.0,3
5389,Super built-up  Area,Other,1800.0,3.0,0.0,150.0,3
5391,Super built-up  Area,Other,1762.0,3.0,1.0,125.0,3
5393,Super built-up  Area,Other,1200.0,3.0,0.0,90.0,3
5394,Super built-up  Area,Other,2023.71,3.0,2.0,275.0,3
5400,Super built-up  Area,Other,2150.0,4.0,2.0,240.0,3
5403,Built-up  Area,Other,3309.0,4.0,3.0,325.0,4
5404,Super built-up  Area,Other,5000.0,9.0,3.0,360.0,11
5406,Super built-up  Area,Other,1150.0,2.0,2.0,126.0,2
5409,Super built-up  Area,Other,1200.0,2.0,1.0,74.0,2
5412,Super built-up  Area,Other,1753.0,3.0,2.0,120.0,3
5414,Plot  Area,Other,720.0,2.0,1.0,45.0,2
5417,Plot  Area,Other,1200.0,3.0,1.0,165.0,4
5418,Built-up  Area,Other,700.0,1.0,0.0,41.0,1
5420,Built-up  Area,Other,1595.0,3.0,2.0,115.0,3
5421,Super built-up  Area,Other,1353.0,2.0,2.0,110.0,2
5422,Built-up  Area,Other,1200.0,2.0,0.0,85.0,1
5425,Built-up  Area,Other,1325.0,2.0,1.0,90.0,3
5428,Super built-up  Area,Other,1056.0,2.0,1.0,80.0,2
5431,Super built-up  Area,Other,1544.0,3.0,2.0,120.0,3
5432,Plot  Area,Other,1200.0,2.0,0.0,65.0,2
5433,Built-up  Area,Other,540.0,1.0,1.0,36.0,1
5434,Super built-up  Area,Other,1578.0,3.0,1.0,180.0,3
5436,Plot  Area,Other,1600.0,2.0,0.0,115.0,2
5437,Super built-up  Area,Other,416.0,1.0,1.0,18.5,1
5440,Built-up  Area,Other,834.0,1.0,1.0,60.0,1
5441,Plot  Area,Other,1125.0,4.0,1.0,70.0,3
5442,Super built-up  Area,Other,3000.0,5.0,2.0,260.0,4
5443,Plot  Area,Other,2160.0,5.0,1.0,250.0,6
5445,Super built-up  Area,Other,469.0,1.0,0.0,25.0,1
5450,Super built-up  Area,Other,1630.0,2.0,2.0,200.0,2
5452,Built-up  Area,Other,1200.0,2.0,0.0,70.0,3
5453,Super built-up  Area,Other,1350.0,3.0,0.0,77.0,3
5454,Super built-up  Area,Other,1180.0,2.0,2.0,78.34,3
5455,Super built-up  Area,Other,1355.0,2.0,2.0,115.0,2
5456,Plot  Area,Other,600.0,1.0,0.0,50.0,1
5457,Super built-up  Area,Other,1875.0,3.0,2.0,165.0,3
5458,Plot  Area,Other,600.0,2.0,1.0,55.0,2
5461,Super built-up  Area,Other,1750.0,3.0,1.0,120.0,3
5464,Plot  Area,Other,1092.0,2.0,1.0,98.5,3
5467,Super built-up  Area,Other,1855.0,3.0,1.0,225.0,3
5471,Built-up  Area,Other,425.0,1.0,0.0,20.03,1
5473,Plot  Area,Other,600.0,1.0,1.0,60.0,1
5474,Super built-up  Area,Other,1468.0,2.0,1.0,140.0,2
5475,Plot  Area,Other,4300.0,5.0,2.0,550.0,4
5477,Super built-up  Area,Other,775.0,2.0,1.0,55.0,2
5480,Super built-up  Area,Other,1352.0,3.0,0.0,135.0,3
5482,Plot  Area,Other,1200.0,3.0,2.0,95.0,4
5483,Super built-up  Area,Other,1976.0,3.0,1.0,184.0,3
5484,Plot  Area,Other,5500.0,4.0,2.0,600.0,4
5485,Plot  Area,Other,1200.0,3.0,0.0,95.0,3
5488,Super built-up  Area,Other,1180.0,2.0,1.0,69.0,2
5489,Super built-up  Area,Other,686.0,1.0,1.0,17.0,1
5491,Built-up  Area,Other,1500.0,4.0,2.0,180.0,4
5493,Super built-up  Area,Other,1282.0,2.0,2.0,87.0,2
5495,Built-up  Area,Other,1500.0,2.0,2.0,95.0,3
5496,Super built-up  Area,Other,1300.0,1.0,1.0,115.0,2
5497,Built-up  Area,Other,530.0,1.0,1.0,20.0,1
5498,Super built-up  Area,Other,1350.0,2.0,3.0,80.0,2
5500,Plot  Area,Other,2400.0,6.0,3.0,125.0,8
5502,Super built-up  Area,Other,1548.0,3.0,2.0,89.5,3
5504,Super built-up  Area,Other,1141.0,2.0,0.0,62.0,2
5507,Super built-up  Area,Other,950.0,1.0,1.0,40.0,1
5514,Built-up  Area,Other,1480.0,3.0,2.0,90.0,3
5515,Super built-up  Area,Other,1600.0,3.0,3.0,90.0,3
5516,Plot  Area,Other,1200.0,4.0,0.0,135.0,4
5518,Plot  Area,Other,1500.0,3.0,2.0,115.0,3
5519,Super built-up  Area,Other,1824.0,3.0,3.0,125.0,3
5520,Plot  Area,Other,750.0,1.0,0.0,56.25,1
5527,Plot  Area,Other,6000.0,5.0,3.0,400.0,4
5528,Built-up  Area,Other,2400.0,3.0,2.0,170.0,3
5530,Super built-up  Area,Other,1500.0,2.0,2.0,98.0,3
5531,Super built-up  Area,Other,3095.0,3.0,3.0,350.0,3
5533,Plot  Area,Other,1200.0,1.0,1.0,28.0,1
5534,Plot  Area,Other,1500.0,3.0,3.0,100.0,3
5536,Plot  Area,Other,1560.0,5.0,1.0,145.0,5
5538,Super built-up  Area,Other,1560.0,3.0,1.0,188.0,3
5540,Plot  Area,Other,1200.0,3.0,1.0,68.4,3
5542,Super built-up  Area,Other,485.0,1.0,1.0,15.0,1
5548,Plot  Area,Other,1200.0,3.0,1.0,130.0,3
5549,Super built-up  Area,Other,1050.0,2.0,1.0,67.0,2
5550,Super built-up  Area,Other,1596.0,3.0,1.0,105.0,3
5554,Plot  Area,Other,1200.0,3.0,1.0,85.0,3
5555,Built-up  Area,Other,1132.0,2.0,1.0,67.0,2
5557,Super built-up  Area,Other,1515.0,3.0,3.0,88.0,3
5560,Super built-up  Area,Other,1380.0,2.0,1.0,80.0,2
5563,Built-up  Area,Other,4346.0,5.0,2.0,500.0,4
5565,Super built-up  Area,Other,2200.0,3.0,2.0,187.0,3
5566,Built-up  Area,Other,3329.0,3.0,2.0,330.0,3
5567,Plot  Area,Other,3600.0,4.0,2.0,300.0,4
5568,Super built-up  Area,Other,3500.0,3.0,3.0,450.0,4
5570,Super built-up  Area,Other,1093.0,2.0,2.0,65.0,2
5572,Carpet  Area,Other,1535.0,3.0,1.0,95.0,3
5574,Super built-up  Area,Other,1100.0,2.0,1.0,62.7,2
5577,Super built-up  Area,Other,2197.0,4.0,3.0,280.0,3
5579,Built-up  Area,Other,1100.0,2.0,1.0,60.0,2
5580,Plot  Area,Other,1600.0,3.0,1.0,172.0,4
5581,Built-up  Area,Other,1450.0,2.0,2.0,85.0,3
5582,Built-up  Area,Other,2000.0,3.0,1.0,166.0,4
5586,Built-up  Area,Other,1756.0,3.0,3.0,100.0,3
5587,Super built-up  Area,Other,1532.0,3.0,3.0,92.0,3
5588,Built-up  Area,Other,1650.0,3.0,0.0,110.0,3
5589,Built-up  Area,Other,1200.0,2.0,2.0,66.0,2
5591,Super built-up  Area,Other,1525.0,2.0,3.0,122.0,3
5595,Plot  Area,Other,2400.0,3.0,2.0,200.0,4
5596,Built-up  Area,Other,1000.0,2.0,1.0,130.0,2
5598,Plot  Area,Other,3040.0,1.0,1.0,180.0,2
5600,Super built-up  Area,Other,1390.0,3.0,1.0,120.0,3
5602,Super built-up  Area,Other,1135.0,2.0,2.0,68.0,2
5603,Super built-up  Area,Other,900.0,2.0,1.0,55.0,2
5607,Super built-up  Area,Other,2500.0,3.0,1.0,250.0,3
5612,Plot  Area,Other,1168.0,3.0,0.0,70.0,3
5614,Plot  Area,Other,2100.0,4.0,2.0,155.0,4
5616,Super built-up  Area,Other,1515.0,3.0,3.0,93.93,3
5621,Built-up  Area,Other,2700.0,4.0,2.0,214.0,6
5622,Super built-up  Area,Other,2000.0,3.0,2.0,210.0,3
5623,Plot  Area,Other,2400.0,4.0,1.0,300.0,5
5624,Super built-up  Area,Other,1760.0,3.0,3.0,176.0,3
5625,Built-up  Area,Other,595.0,1.0,1.0,42.0,1
5630,Built-up  Area,Other,1170.0,2.0,2.0,86.0,2
5631,Plot  Area,Other,2200.0,4.0,3.0,235.0,4
5638,Carpet  Area,Other,1650.0,3.0,3.0,175.0,3
5640,Super built-up  Area,Other,1670.0,3.0,3.0,91.86,3
5644,Built-up  Area,Other,1250.0,2.0,1.0,80.0,3
5645,Plot  Area,Other,1650.0,4.0,2.0,160.0,3
5646,Super built-up  Area,Other,800.0,2.0,3.0,50.0,2
5647,Super built-up  Area,Other,1225.0,2.0,2.0,150.0,2
5649,Super built-up  Area,Other,3675.0,4.0,3.0,367.0,4
5650,Plot  Area,Other,1200.0,2.0,2.0,150.0,2
5653,Plot  Area,Other,1350.0,2.0,1.0,80.0,2
5655,Super built-up  Area,Other,1614.0,3.0,1.0,110.0,3
5656,Super built-up  Area,Other,1188.0,2.0,3.0,73.0,2
5657,Super built-up  Area,Other,1480.0,3.0,2.0,90.0,3
5658,Plot  Area,Other,680.0,2.0,0.0,42.0,2
5661,Built-up  Area,Other,955.0,2.0,3.0,53.55,2
5663,Super built-up  Area,Other,2479.13,3.0,1.0,215.0,3
5664,Built-up  Area,Other,1100.0,2.0,0.0,106.0,2
5667,Super built-up  Area,Other,1925.0,3.0,2.0,120.0,3
5668,Super built-up  Area,Other,650.0,1.0,1.0,26.0,1
5670,Super built-up  Area,Other,2000.0,3.0,3.0,207.0,3
5671,Plot  Area,Other,1050.0,2.0,0.0,110.0,2
5673,Super built-up  Area,Other,2204.0,2.0,3.0,305.0,3
5679,Built-up  Area,Other,1685.0,2.0,1.0,110.0,3
5681,Super built-up  Area,Other,1550.0,3.0,3.0,110.0,3
5682,Built-up  Area,Other,500.0,1.0,0.0,20.0,1
5684,Super built-up  Area,Other,3155.0,4.0,2.0,370.0,3
5685,Super built-up  Area,Other,1765.0,3.0,3.0,105.0,3
5686,Super built-up  Area,Other,1265.0,2.0,3.0,70.0,2
5687,Built-up  Area,Other,1012.0,2.0,1.0,59.0,2
5688,Super built-up  Area,Other,2045.0,4.0,3.0,154.0,3
5690,Plot  Area,Other,2400.0,4.0,2.0,280.0,6
5691,Super built-up  Area,Other,581.91,2.0,1.0,25.0,1
5692,Plot  Area,Other,1158.0,2.0,2.0,85.0,3
5693,Super built-up  Area,Other,925.0,2.0,2.0,51.0,2
5694,Built-up  Area,Other,1415.0,2.0,3.0,110.0,2
5697,Super built-up  Area,Other,4750.0,5.0,2.0,600.0,4
5698,Super built-up  Area,Other,1840.0,3.0,2.0,155.0,3
5699,Plot  Area,Other,1350.0,2.0,1.0,185.0,2
5700,Built-up  Area,Other,824.0,2.0,0.0,60.0,2
5701,Super built-up  Area,Other,1340.0,2.0,1.0,100.0,3
5702,Built-up  Area,Other,1620.0,2.0,1.0,110.0,3
5703,Built-up  Area,Other,1533.0,3.0,2.0,115.0,3
5704,Built-up  Area,Other,1560.0,3.0,2.0,85.0,3
5706,Super built-up  Area,Other,750.0,1.0,2.0,25.0,1
5707,Super built-up  Area,Other,1375.0,2.0,3.0,85.0,3
5714,Built-up  Area,Other,1500.0,3.0,2.0,88.0,3
5716,Super built-up  Area,Other,1140.0,2.0,1.0,76.0,2
5717,Super built-up  Area,Other,1198.0,2.0,1.0,84.0,2
5718,Built-up  Area,Other,4000.0,4.0,1.0,520.0,4
5720,Built-up  Area,Other,1370.0,2.0,2.0,75.0,2
5724,Super built-up  Area,Other,1000.0,1.0,1.0,55.0,2
5725,Plot  Area,Other,1200.0,2.0,2.0,125.0,2
5729,Built-up  Area,Other,1050.0,1.0,1.0,70.0,1
5730,Plot  Area,Other,1200.0,2.0,0.0,80.0,3
5738,Built-up  Area,Other,400.0,1.0,0.0,14.0,1
5740,Plot  Area,Other,1575.0,4.0,0.0,150.0,5
5742,Built-up  Area,Other,4800.0,5.0,3.0,629.0,4
5743,Super built-up  Area,Other,1200.0,2.0,2.0,70.0,2
5745,Super built-up  Area,Other,1100.0,2.0,1.0,60.0,2
5747,Super built-up  Area,Other,1300.0,2.0,1.0,79.0,2
5749,Super built-up  Area,Other,3500.0,4.0,3.0,350.0,4
5751,Built-up  Area,Other,1000.0,2.0,0.0,110.0,3
5754,Plot  Area,Other,800.0,1.0,1.0,100.0,1
5759,Built-up  Area,Other,2400.0,3.0,1.0,260.0,3
5760,Super built-up  Area,Other,1533.0,3.0,2.0,85.0,3
5763,Super built-up  Area,Other,1452.55,2.0,3.0,110.0,2
5764,Built-up  Area,Other,2357.0,3.0,2.0,151.0,3
5765,Super built-up  Area,Other,1170.0,2.0,3.0,105.0,2
5766,Super built-up  Area,Other,1411.0,3.0,2.0,91.72,3
5768,Super built-up  Area,Other,3095.0,3.0,3.0,375.0,3
5770,Plot  Area,Other,1100.0,3.0,1.0,78.0,3
5772,Super built-up  Area,Other,3600.0,4.0,2.0,365.0,4
5775,Built-up  Area,Other,1945.0,3.0,3.0,120.0,3
5777,Super built-up  Area,Other,1650.0,3.0,1.0,165.0,3
5778,Plot  Area,Other,1550.0,2.0,1.0,150.0,3
5780,Built-up  Area,Other,1150.0,2.0,1.0,75.0,3
5781,Plot  Area,Other,1200.0,3.0,1.0,74.0,3
5782,Super built-up  Area,Other,1229.0,3.0,1.0,86.03,3
5783,Built-up  Area,Other,1030.0,2.0,3.0,61.0,2
5784,Built-up  Area,Other,600.0,1.0,0.0,32.0,1
5785,Super built-up  Area,Other,1165.0,2.0,1.0,135.0,2
5788,Built-up  Area,Other,3000.0,4.0,2.0,240.0,4
5790,Super built-up  Area,Other,1315.0,2.0,2.0,90.0,2
5791,Super built-up  Area,Other,1210.0,2.0,2.0,72.0,2
5792,Super built-up  Area,Other,11338.0,9.0,1.0,1000.0,6
5794,Plot  Area,Other,30000.0,4.0,2.0,2100.0,4
5796,Super built-up  Area,Other,1170.0,2.0,2.0,68.0,2
5797,Plot  Area,Other,1600.0,2.0,2.0,110.0,2
